Well_id,titer,dcm,yield,Yeast_extract_source,Yeast_extract,Glycerol,Tryptone,Magnesium_sulfate,pH,Buffer_capacity,Osmolality,Category,Run_number,Replicate,Dipotassium_phosphate,Potassium_phosphate,Sodium_chloride,Well_bottom,Well_volume,Well_fill_volume,Well_cover,Shake_speed,Temperature,Time,Inoculum_amount,Inoculum_age,Antibiotic_conc,Flask_baffles,Flask_volume,Flask_fill_volume,Flask_cover,Exp_number,Random,Plate,Exp_plate,Row,Column,Well,Starter_culture,Exp_date,Plate_streak_date,Media_number,Strain
e30-65-4-2-E4,5.620372890754897,9.6513204905,0.5823423744229765,1,24,5,12,0.12,7.2,90,750,Centerpoint,65,4,12.7,2.2799999999999998,6.63,Round,2.5,0.1,Aeraseal,460,30,48,0.01,16,2.5000000000000001E-2,"NA","NA","NA","NA",e30,11,2,3,E,4,E4,14,2017-10-25T00:00:00Z,2017-10-18T00:00:00Z,33,"NA"
e32-1-1-1-B2,6.0757378766354355,9.8057987255,0.619606627335259,1,24,5,12,0.12,7.2,90,750,Centerpoint,1,1,12.7,2.2799999999999998,6.63,Round,2.5,0.1,Aeraseal,460,30,48,0.01,16,2.5000000000000001E-2,"NA","NA","NA","NA",e32,1,1,1,B,2,B2,15,2017-10-24T00:00:00Z,2017-10-18T00:00:00Z,"NA","NA"
e32-1-2-1-B4,5.65302840943118,10.003933853,0.5650805465627842,1,24,5,12,0.12,7.2,90,750,Centerpoint,1,2,12.7,2.2799999999999998,6.63,Round,2.5,0.1,Aeraseal,460,30,48,0.01,16,2.5000000000000001E-2,"NA","NA","NA","NA",e32,3,1,1,B,4,B4,15,2017-10-24T00:00:00Z,2017-10-18T00:00:00Z,"NA","NA"
e32-1-3-1-C3,6.231704977046704,9.634529378,0.6468094841535812,1,24,5,12,0.12,7.2,90,750,Centerpoint,1,3,12.7,2.2799999999999998,6.63,Round,2.5,0.1,Aeraseal,460,30,48,0.01,16,2.5000000000000001E-2,"NA","NA","NA","NA",e32,6,1,1,C,3,C3,15,2017-10-24T00:00:00Z,2017-10-18T00:00:00Z,"NA","NA"
e32-1-4-1-C4,5.647105732093021,9.909903623,0.5698446672061062,1,24,5,12,0.12,7.2,90,750,Centerpoint,1,4,12.7,2.2799999999999998,6.63,Round,2.5,0.1,Aeraseal,460,30,48,0.01,16,2.5000000000000001E-2,"NA","NA","NA","NA",e32,7,1,1,C,4,C4,15,2017-10-24T00:00:00Z,2017-10-18T00:00:00Z,"NA","NA"
e37-15-1-1-C7,5.312275161838066,9.1072884455,0.5832993204978496,1,24,5,12,0.12,7.2,90,750,Centerpoint,15,1,12.7,2.2799999999999998,6.63,Round,2.5,0.1,Aeraseal,460,30,48,0.01,16,2.5000000000000001E-2,"NA","NA","NA","NA",e37,14,1,1,C,7,C7,21,2017-10-31T00:00:00Z,2017-10-18T00:00:00Z,"NA",wildtype
e37-15-2-1-F5,5.429889196827304,9.251692013,0.5869076909604757,1,24,5,12,0.12,7.2,90,750,Centerpoint,15,2,12.7,2.2799999999999998,6.63,Round,2.5,0.1,Aeraseal,460,30,48,0.01,16,2.5000000000000001E-2,"NA","NA","NA","NA",e37,36,1,1,F,5,F5,21,2017-10-31T00:00:00Z,2017-10-18T00:00:00Z,"NA",wildtype
e37-15-3-1-F7,5.108029211423815,8.7043017455,0.5868396295044105,1,24,5,12,0.12,7.2,90,750,Centerpoint,15,4,12.7,2.2799999999999998,6.63,Round,2.5,0.1,Aeraseal,460,30,48,0.01,16,2.5000000000000001E-2,"NA","NA","NA","NA",e37,38,1,1,F,7,F7,21,2017-10-31T00:00:00Z,2017-10-18T00:00:00Z,"NA",wildtype
e37-15-4-1-B7,5.163443356496747,8.8050484205,0.5864185078727298,1,24,5,12,0.12,7.2,90,750,Centerpoint,15,3,12.7,2.2799999999999998,6.63,Round,2.5,0.1,Aeraseal,460,30,48,0.01,16,2.5000000000000001E-2,"NA","NA","NA","NA",e37,6,1,1,B,7,B7,21,2017-10-31T00:00:00Z,2017-10-18T00:00:00Z,"NA",wildtype
e38-1-1-1-B3,5.482547216181731,9.291990683,0.5900293492773545,1,24,5,12,0.12,7.2,90,750,Centerpoint,1,1,12.7,2.2799999999999998,6.63,Round,2.5,0.1,Aeraseal,460,30,48,0.01,16,2.5000000000000001E-2,"NA","NA","NA","NA",e38,2,1,1,B,3,B3,15,2017-11-04T00:00:00Z,2017-10-18T00:00:00Z,"NA","NA"
